Car_Name,Year,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner,Selling_Price_USD,Present_Price_USD
ritz,2014,27000,Petrol,Dealer,Manual,1,4036.144578,6734.939759
sx4,2013,43000,Diesel,Dealer,Manual,1,5722.891566,11493.9759
ciaz,2017,6900,Petrol,Dealer,Manual,1,8734.939759,11867.46988
wagon r,2011,5200,Petrol,Dealer,Manual,1,3433.73494,5000
swift,2014,42450,Diesel,Dealer,Manual,1,5542.168675,8277.108434
vitara brezza,2018,2071,Diesel,Dealer,Manual,1,11144.57831,11843.37349
ciaz,2015,18796,Petrol,Dealer,Manual,1,8132.53012,9783.13253
s cross,2015,33429,Diesel,Dealer,Manual,1,7831.325301,10373.49398
ciaz,2016,20273,Diesel,Dealer,Manual,1,10542.16867,10710.84337
ciaz,2015,42367,Diesel,Dealer,Manual,1,8975.903614,10746.98795
alto 800,2017,2135,Petrol,Dealer,Manual,1,3433.73494,4337.349398
ciaz,2015,51000,Diesel,Dealer,Manual,1,8253.012048,12506.0241
ciaz,2015,15000,Petrol,Dealer,Automatic,1,9036.144578,11975.90361
ertiga,2015,26000,Petrol,Dealer,Manual,1,7349.39759,9289.156627
dzire,2009,77427,Petrol,Dealer,Manual,1,2710.843373,8686.746988
ertiga,2016,43000,Diesel,Dealer,Manual,1,9337.349398,13000
ertiga,2015,41678,Diesel,Dealer,Manual,1,8734.939759,13000
ertiga,2016,43000,Diesel,Dealer,Manual,1,9337.349398,13000
wagon r,2015,35500,CNG,Dealer,Manual,1,3915.662651,6132.53012
sx4,2010,41442,Petrol,Dealer,Manual,1,3192.771084,9614.457831
alto k10,2016,25000,Petrol,Dealer,Manual,1,3433.73494,4759.036145
ignis,2017,2400,Petrol,Dealer,Manual,1,5903.614458,6879.518072
sx4,2011,50000,Petrol,Dealer,Automatic,1,5301.204819,9650.60241
alto k10,2014,45280,Petrol,Dealer,Manual,1,3012.048193,4168.674699
wagon r,2013,56879,Petrol,Dealer,Manual,1,3493.975904,5313.253012
swift,2011,20000,Petrol,Dealer,Manual,1,3614.457831,6012.048193
swift,2013,55138,Petrol,Dealer,Manual,1,5000,7072.289157
swift,2017,16200,Petrol,Individual,Manual,1,7228.915663,7819.277108
alto k10,2010,44542,Petrol,Dealer,Manual,1,2349.39759,4759.036145
ciaz,2015,45000,Diesel,Dealer,Manual,1,8975.903614,12506.0241
ritz,2012,51439,Diesel,Dealer,Manual,1,3734.939759,7204.819277
ritz,2011,54200,Petrol,Dealer,Manual,1,2831.325301,5891.566265
swift,2014,39000,Diesel,Dealer,Manual,1,5963.855422,9024.096386
ertiga,2014,45000,Diesel,Dealer,Manual,1,7228.915663,11987.95181
dzire,2014,45000,Diesel,Dealer,Manual,1,6626.506024,9710.843373
sx4,2011,49998,CNG,Dealer,Manual,1,3554.216867,9325.301205
dzire,2015,48767,Petrol,Dealer,Manual,1,5602.409639,8674.698795
800,2003,127000,Petrol,Individual,Manual,1,421.686747,2746.987952
alto k10,2016,10079,Petrol,Dealer,Manual,1,3614.457831,4530.120482
sx4,2003,62000,Petrol,Dealer,Manual,1,2710.843373,9614.457831
baleno,2016,24524,Petrol,Dealer,Automatic,1,7048.192771,9481.927711
alto k10,2014,46706,Petrol,Dealer,Manual,1,3072.289157,4795.180723
sx4,2008,58000,Petrol,Dealer,Manual,1,2349.39759,8614.457831
dzire,2014,45780,Diesel,Dealer,Manual,1,6626.506024,9710.843373
omni,2012,50000,Petrol,Dealer,Manual,1,1506.024096,3240.963855
ciaz,2014,15000,Petrol,Dealer,Automatic,1,9036.144578,14506.0241
ritz,2013,64532,Petrol,Dealer,Manual,1,3192.771084,5891.566265
wagon r,2006,65000,Petrol,Dealer,Manual,1,1265.060241,5000
ertiga,2015,25870,Petrol,Dealer,Manual,1,6987.951807,9289.156627
ciaz,2017,37000,Petrol,Dealer,Automatic,1,9337.349398,11192.77108
fortuner,2012,104707,Diesel,Dealer,Automatic,1,17951.80723,36879.51807
fortuner,2015,40000,Diesel,Dealer,Automatic,1,27710.84337,36879.51807
innova,2017,15000,Diesel,Dealer,Automatic,1,21686.74699,23819.27711
fortuner,2013,135000,Diesel,Individual,Automatic,1,19277.10843,36879.51807
innova,2005,90000,Petrol,Individual,Manual,1,3313.253012,12301.20482
corolla altis,2009,70000,Petrol,Dealer,Automatic,1,4337.349398,18120.48193
etios cross,2015,40534,Petrol,Dealer,Manual,1,5421.686747,8759.036145
corolla altis,2010,50000,Petrol,Dealer,Manual,1,5722.891566,22337.3494
etios g,2014,39485,Petrol,Dealer,Manual,2,4939.759036,8192.771084
fortuner,2014,41000,Diesel,Dealer,Automatic,1,24084.33735,43325.3012
corolla altis,2013,40001,Petrol,Dealer,Manual,1,8373.493976,22421.68675
etios cross,2015,40588,Petrol,Dealer,Manual,1,5421.686747,9277.108434
fortuner,2014,78000,Diesel,Dealer,Automatic,1,22590.36145,43325.3012
fortuner,2015,47000,Diesel,Dealer,Automatic,1,28313.25301,43325.3012
